#           k/h    P           
    0.44471E+00    0.71579E+02
    0.45369E+00    0.68225E+02
    0.46286E+00    0.65016E+02
    0.47221E+00    0.62034E+02
    0.48174E+00    0.59239E+02
    0.49148E+00    0.56564E+02
    0.50141E+00    0.53967E+02
    0.51153E+00    0.51461E+02
    0.52187E+00    0.49068E+02
    0.53241E+00    0.46802E+02
    0.54317E+00    0.44650E+02
    0.55414E+00    0.42598E+02
    0.56533E+00    0.40636E+02
    0.57675E+00    0.38759E+02
    0.58840E+00    0.36963E+02
    0.60029E+00    0.35245E+02
    0.61242E+00    0.33604E+02
    0.62479E+00    0.32034E+02
    0.63741E+00    0.30535E+02
    0.65029E+00    0.29103E+02
    0.66342E+00    0.27735E+02
    0.67683E+00    0.26430E+02
    0.69050E+00    0.25183E+02
    0.70445E+00    0.23994E+02
    0.71868E+00    0.22859E+02
    0.73320E+00    0.21776E+02
    0.74801E+00    0.20743E+02
    0.76312E+00    0.19758E+02
    0.77854E+00    0.18820E+02
    0.79426E+00    0.17925E+02
    0.81031E+00    0.17072E+02
    0.82668E+00    0.16258E+02
    0.84338E+00    0.15483E+02
    0.86041E+00    0.14744E+02
    0.87780E+00    0.14040E+02
    0.89553E+00    0.13369E+02
    0.91362E+00    0.12729E+02
    0.93208E+00    0.12119E+02
    0.95091E+00    0.11538E+02
    0.97011E+00    0.10984E+02
    0.98971E+00    0.10456E+02
    0.10097E+01    0.99534E+01
    0.10301E+01    0.94741E+01
    0.10509E+01    0.90174E+01
    0.10721E+01    0.85822E+01
    0.10938E+01    0.81675E+01
    0.11159E+01    0.77725E+01
    0.11384E+01    0.73961E+01
    0.11614E+01    0.70375E+01
    0.11849E+01    0.66960E+01
    0.12088E+01    0.63706E+01
    0.12333E+01    0.60607E+01
    0.12582E+01    0.57656E+01
    0.12836E+01    0.54845E+01
    0.13095E+01    0.52168E+01
    0.13360E+01    0.49619E+01
    0.13630E+01    0.47191E+01
    0.13905E+01    0.44880E+01
    0.14186E+01    0.42680E+01
    0.14472E+01    0.40585E+01
    0.14765E+01    0.38590E+01
    0.15063E+01    0.36692E+01
    0.15367E+01    0.34885E+01
    0.15678E+01    0.33165E+01
    0.15994E+01    0.31528E+01
    0.16318E+01    0.29971E+01
    0.16647E+01    0.28489E+01
    0.16984E+01    0.27080E+01
    0.17327E+01    0.25739E+01
    0.17677E+01    0.24464E+01
    0.18034E+01    0.23251E+01
    0.18398E+01    0.22098E+01
    0.18770E+01    0.21002E+01
    0.19149E+01    0.19959E+01
    0.19536E+01    0.18968E+01
    0.19930E+01    0.18026E+01
    0.20333E+01    0.17131E+01
    0.20744E+01    0.16280E+01
