# # First row is parameter values (first value is 99.0)
# # Second row is sigma_8 (first value is 99.0)
# # First column is k (Mpc/h), second column is P(k,z =0)
# # parmeter being varied is obh2
# # model type = fiducial
4.008806328898464845e-04 1.974754736315607261e+03 1.878235621722148608e+03 1.789126066180890803e+03 1.706658800297350808e+03 1.630165935612088106e+03 1.559062203999075791e+03 1.492834984787132271e+03 1.431031618205625591e+03 1.373252485198631575e+03 1.319142912987696491e+03
4.198707084443908553e-04 2.063630820205849886e+03 1.962811312542081623e+03 1.869727171950149568e+03 1.783577999617191608e+03 1.703667193361611226e+03 1.629383364833518954e+03 1.560192019802138930e+03 1.495620750690364730e+03 1.435252243515008558e+03 1.378716092359484037e+03
4.397603609302718668e-04 2.156429056219843005e+03 2.051125405260759180e+03 1.953896090940730573e+03 1.863906496960986260e+03 1.780429889953190013e+03 1.702828854880904146e+03 1.630544684011778372e+03 1.563085182522568402e+03 1.500014494720917128e+03 1.440945893609251016e+03
4.605922041145105693e-04 2.253312567992736149e+03 2.143333995165231499e+03 2.041782559197585215e+03 1.947788122932775877e+03 1.860592160738955954e+03 1.779531114837501264e+03 1.704020542849539424e+03 1.633547660558552479e+03 1.567657460780922520e+03 1.505946363362859302e+03
4.824108704165368721e-04 2.354450356569413543e+03 2.239598666240027342e+03 2.133541453953005657e+03 2.035371511911087282e+03 1.944297380238363303e+03 1.859627481279172571e+03 1.780751982124347023e+03 1.707135569098198403e+03 1.638303835581046997e+03 1.573835838053694715e+03
5.052631065335679277e-04 2.460016749239518049e+03 2.340086751373170955e+03 2.229333215713266327e+03 2.126810624590439147e+03 2.031693547852086567e+03 1.943260295891387159e+03 1.860875990438476720e+03 1.783980954872129360e+03 1.712080980430661612e+03 1.644737175502429864e+03
5.291978735958440157e-04 2.570191567583743108e+03 2.444971051588113824e+03 2.329323877658036963e+03 2.222264888350398905e+03 2.122933824756009471e+03 2.030577122018398768e+03 1.944534367643578662e+03 1.864220616546331485e+03 1.789120993093439893e+03 1.718777738247882326e+03
5.542664520663104742e-04 2.685160651014842188e+03 2.554430148079002265e+03 2.433685213157322778e+03 2.321899356739978884e+03 2.218176556414193328e+03 2.121730691765950269e+03 2.031874090676811193e+03 1.947996338024692932e+03 1.869560781530572058e+03 1.796089620939386123e+03
5.805225516094897299e-04 2.805115937004216903e+03 2.668647847235307381e+03 2.542593800221465244e+03 2.425884082413791020e+03 2.317585517654074920e+03 2.216879060123900672e+03 2.123047438072402656e+03 2.035454921376305492e+03 1.953541869596433571e+03 1.876809468725921761e+03
6.080224261649421489e-04 2.930254858851490098e+03 2.787813503284995477e+03 2.656231528434866505e+03 2.534394440679347099e+03 2.421329870377371662e+03 2.316185293852818631e+03 2.218211795507214447e+03 2.126748246722322165e+03 2.041210771886709836e+03 1.961078853487537799e+03
6.368249944718586218e-04 3.060779692665917537e+03 2.912122450126928925e+03 2.774786446523849918e+03 2.647611473364408084e+03 2.529584278994433134e+03 2.419817390548446383e+03 2.317529444567708651e+03 2.222032965901972602e+03 2.132718741732511717e+03 2.049044197163990248e+03
6.669919663030119154e-04 3.196898696450798070e+03 3.041776066973935031e+03 2.898452833636943978e+03 2.765721979273465422e+03 2.642528783809249035e+03 2.527948836967386342e+03 2.421168075063497781e+03 2.321471010068303258e+03 2.228222240005159165e+03 2.140857022724278067e+03
6.985879746785244931e-04 3.338826172873766609e+03 3.176980921293291885e+03 3.027429941892793977e+03 2.888918159526686395e+03 2.760348669164408875e+03 2.640758581921963469e+03 2.529300686412749201e+03 2.425229432109504160e+03 2.327883008680096282e+03 2.236673633350646014e+03
7.316807143427194859e-04 3.486782112984842570e+03 3.317948223619250712e+03 3.161921627690199784e+03 3.017397408243037262e+03 2.883234690314062391e+03 2.758431097031837453e+03 2.642105687924803533e+03 2.533480697750821037e+03 2.431868179464773220e+03 2.336655400285135329e+03
7.663410868007456550e-04 3.640990692933285573e+03 3.464894734143859750e+03 3.302137361748878448e+03 3.151362442428245686e+03 3.011382705697110396e+03 2.881155935490014599e+03 2.759766112728750613e+03 2.646402276733510007e+03 2.540349482398401960e+03 2.440968758751639598e+03
8.026433522257172539e-04 3.801681219718507691e+03 3.618042468590517274e+03 3.448292111848985314e+03 3.291020764816953488e+03 3.144993949326767961e+03 3.009128030127857528e+03 2.882470310256318953e+03 2.764176950650247818e+03 2.653503628190965628e+03 2.549785312154457642e+03
8.406652885618322952e-04 3.969087208184562769e+03 3.777618496302407493e+03 3.600605820365445197e+03 3.436585089506112581e+03 3.284274228839874468e+03 3.142546714217213321e+03 3.010411694562762932e+03 2.886991988078479608e+03 2.771512282071066238e+03 2.663281471940746997e+03
8.804883581643459635e-04 4.143446795063838181e+03 3.943853375791858980e+03 3.759301949251898805e+03 3.588272599475479637e+03 3.429434468369454862e+03 3.281616415453961963e+03 3.143788937852885738e+03 3.015039519214944903e+03 2.894562138795579813e+03 2.781638288979331264e+03
9.221978823334323712e-04 4.325001208205557305e+03 4.116982019860942273e+03 3.924608545982795931e+03 3.746305224071150860e+03 3.580689665702438106e+03 3.426546016718918509e+03 3.282804760774779425e+03 3.148516642322510961e+03 3.022844760995898014e+03 2.905041712127268966e+03
9.658832241158701306e-04 4.513995082776564232e+03 4.297242136998794194e+03 4.096757309563776289e+03 3.910908074865701110e+03 3.738259385884903622e+03 3.577549132026447296e+03 3.427666267975872870e+03 3.287625402966360070e+03 3.156556386315173313e+03 3.033682223037291351e+03
